technology,parameter_type,component,value,unit,source,value_comment,period
Steamcracker_Naphtha,High CAPEX,CAPEX,2710.79,€/t annual production capacity,FutureCamp and Dechema (2019); Rueda-Durán et al. (2018); author assumptions,,2022
Steamcracker_Naphtha,Energy demand,Natural Gas,4.65,MWh/t_product,FutureCamp and Dechema (2019),,2022
Steamcracker_Naphtha,Energy demand,Electricity,0.51,MWh/t_product,FutureCamp and Dechema (2019); Volk et al. (2021); author aggregation,,2022
Steamcracker_Naphtha,Feedstock demand,Naphta,1.015,t/t_product,FutureCamp and Dechema (2019); author assumption for polymerisation yield,,2022
Steamcracker_Naphtha,Emissions,CO2,1.57,t/t_product,Alsabri et al. (2021); author aggregation,,2022
Steamcracker_Naphtha,Feedstock demand,CO2 EoL,3.14,t/t_product,Guidehouse et al. (2024),,2022
Steamcracker_Naphtha,OPEX,Additional OPEX,67.77,€/t_product,"2.5% CAPEX; Author assumptions based on CAPEX; see manuscript Methods; Includes polymerisation OPEX of €5.00/t PP, equal to 2.5% of €200/t annual PP capacity",,2022
eSteamcracker_Naphtha,High CAPEX,CAPEX,2710.79,€/t annual production capacity,FutureCamp and Dechema (2019); Rueda-Durán et al. (2018); greenfield author assumption: same cracker CAPEX as conventional route,,2022
eSteamcracker_Naphtha,Energy demand,Natural Gas,0,MWh/t_product,Author calculation: fossil process heat replaced by electricity,,2022
eSteamcracker_Naphtha,Energy demand,Electricity,5.16,MWh/t_product,FutureCamp and Dechema (2019); Volk et al. (2021); author calculation for electric heat substitution,,2022
eSteamcracker_Naphtha,Feedstock demand,Naphta,1.015,t/t_product,FutureCamp and Dechema (2019); author assumption for polymerisation yield,,2022
eSteamcracker_Naphtha,Emissions,CO2,0.2,t/t_product,Alsabri et al. (2021); author calculation for electric heat substitution,,2022
eSteamcracker_Naphtha,Feedstock demand,CO2 EoL,3.14,t/t_product,Guidehouse et al. (2024),,2022
eSteamcracker_Naphtha,OPEX,Additional OPEX,67.77,€/t_product,"2.5% CAPEX; Author assumptions based on CAPEX; see manuscript Methods; Includes polymerisation OPEX of €5.00/t PP, equal to 2.5% of €200/t annual PP capacity",,2022
Pyrolyse_Steamcracker_Recycling,High CAPEX,CAPEX,4011.55,€/t annual production capacity,Agora Energiewende and Wuppertal Institut (2019); Letoffet et al. (2024); Sphera (2022); FutureCamp and Dechema (2019); Rueda-Durán et al. (2018); author assumptions,,2022
Pyrolyse_Steamcracker_Recycling,Energy demand,Natural Gas,5.81,MWh/t_product,FutureCamp and Dechema (2019); author conversion and aggregation,,2022
Pyrolyse_Steamcracker_Recycling,Energy demand,Electricity,1.11095,MWh/t_product,"Aggregated using 0.098 MWh/t pyrolysis oil for upgrading, consistent with Letoffet et al. (2024)",,2022
Pyrolyse_Steamcracker_Recycling,Feedstock demand,PCW,1.801,t/t_product,Biessey et al. (2023); Stallkamp (2023); Stallkamp et al. (2024); Möck et al. (2022); author yield assumptions,,2022
Pyrolyse_Steamcracker_Recycling,Feedstock demand,Hydrogen,10.809,kg/t_product,10 kg H2/t pyrolysis oil aggregated to the PP functional unit; harmonised across both cracker variants,,2022
Pyrolyse_Steamcracker_Recycling,Emissions,CO2,2.908,t/t_product,Volk et al. (2021); Letoffet et al. (2024); Alsabri et al. (2021); author aggregation,,2022
Pyrolyse_Steamcracker_Recycling,OPEX,Additional OPEX,177.85,€/t_product,"Agora Energiewende and Wuppertal Institut (2019); author assumptions based on CAPEX; Includes polymerisation OPEX of €5.00/t PP, equal to 2.5% of €200/t annual PP capacity",,2022
Pyrolyse_eSteamcracker_Recycling,High CAPEX,CAPEX,4011.55,€/t annual production capacity,Agora Energiewende and Wuppertal Institut (2019); Letoffet et al. (2024); Sphera (2022); FutureCamp and Dechema (2019); Rueda-Durán et al. (2018); greenfield electric-cracker author assumption,,2022
Pyrolyse_eSteamcracker_Recycling,Energy demand,Natural Gas,0,MWh/t_product,Author calculation: fossil process heat replaced by electricity,,2022
Pyrolyse_eSteamcracker_Recycling,Energy demand,Electricity,6.92182,MWh/t_product,"Aggregated using 0.098 MWh/t pyrolysis oil for upgrading, consistent with Letoffet et al. (2024)",,2022
Pyrolyse_eSteamcracker_Recycling,Feedstock demand,PCW,1.80,t/t_product,Biessey et al. (2023); Stallkamp (2023); Stallkamp et al. (2024); Möck et al. (2022); author yield assumptions,,2022
Pyrolyse_eSteamcracker_Recycling,Feedstock demand,Hydrogen,10.809,kg/t_product,Dechema et al. (2021); Sphera (2022); author aggregation,,2022
Pyrolyse_eSteamcracker_Recycling,Emissions,CO2,1.19482,t/t_product,Volk et al. (2021); Letoffet et al. (2024); Alsabri et al. (2021); author calculation for electric heat substitution,,2022
Pyrolyse_eSteamcracker_Recycling,OPEX,Additional OPEX,177.85,€/t_product,"Agora Energiewende and Wuppertal Institut (2019); author assumptions based on CAPEX; Includes polymerisation OPEX of €5.00/t PP, equal to 2.5% of €200/t annual PP capacity",,2022
Hydrocracking_Steamcracker_Recycling,High CAPEX,CAPEX,5530.23,€/t annual production capacity,Dechema et al. (2021); Olafasakin et al. (2023); FutureCamp and Dechema (2019); Rueda-Durán et al. (2018); author aggregation,,2022
Hydrocracking_Steamcracker_Recycling,Energy demand,Natural Gas,4.65,MWh/t_product,FutureCamp and Dechema (2019); author aggregation,,2022
Hydrocracking_Steamcracker_Recycling,Energy demand,Electricity,0.97,MWh/t_product,Dechema et al. (2021); Olafasakin et al. (2023); FutureCamp and Dechema (2019); Volk et al. (2021); author aggregation,,2022
