Project name,Period,Technology,CAPEX annuity,Additional OPEX,CAPEX total,Emissions,Energy cost,Free Allocations,cost,cost_Biobutene,cost_Bioethanol,cost_Biomass,cost_CO2 EoL,cost_Coking Coal,cost_DRI-Pellets,cost_Electricity,cost_Hydrogen,cost_Injection Coal,cost_Iron Ore,cost_Naphta,cost_Natural Gas,cost_PCW,cost_Scrap Steel,cost_ref,CAPEX annuity_ref,CAPEX total_ref,Energy cost_ref,cost_Biobutene_ref,cost_Bioethanol_ref,cost_Biomass_ref,cost_CO2 EoL_ref,cost_Coking Coal_ref,cost_DRI-Pellets_ref,cost_Electricity_ref,cost_Hydrogen_ref,cost_Injection Coal_ref,cost_Iron Ore_ref,cost_Naphta_ref,cost_Natural Gas_ref,cost_PCW_ref,cost_Scrap Steel_ref,Additional OPEX_ref,Emissions_ref,Free Allocations_ref,Additional OPEX_diff,CAPEX annuity_diff,CAPEX total_diff,Emissions_diff,Energy cost_diff,Free Allocations_diff,cost_diff,cost_Biobutene_diff,cost_Bioethanol_diff,cost_Biomass_diff,cost_CO2 EoL_diff,cost_Coking Coal_diff,cost_DRI-Pellets_diff,cost_Electricity_diff,cost_Hydrogen_diff,cost_Injection Coal_diff,cost_Iron Ore_diff,cost_Naphta_diff,cost_Natural Gas_diff,cost_PCW_diff,cost_Scrap Steel_diff,CO2 Price,Size,Effective CO2 Price,Industry,Abatement_cost
Bioethanol,2025,Steamcracker_Naphtha,40.9427470484459,25.0,563.57,0.2,49.83783999999999,0.0,1235.2805870484458,575.45,544.0500000000001,0.0,0.0,0.0,0.0,49.83783999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1527.6560427781048,196.93594277810507,2710.79,315.6525,0.0,0.0,0.0,341.7576,0.0,0.0,56.508,0.0,0.0,0.0,608.9999999999999,259.1445,0.0,0.0,64.31,1.57,0.0,-39.31,-155.99319572965916,-2147.22,-1.37,-265.81466,0.0,-292.37545572965905,575.45,544.0500000000001,0.0,-341.7576,0.0,0.0,-6.67016000000001,0.0,0.0,0.0,-608.9999999999999,-259.1445,0.0,0.0,108.84,1,108.84,polymers,-213.41274140851024
Bioethanol,2026,Steamcracker_Naphtha,40.9427470484459,25.0,563.57,0.2,45.699679999999994,0.0,1231.1424270484458,575.45,544.0500000000001,0.0,0.0,0.0,0.0,45.699679999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1536.1242427781049,196.93594277810507,2710.79,266.87850000000003,0.0,0.0,0.0,398.9998,0.0,0.0,51.815999999999995,0.0,0.0,0.0,608.9999999999999,215.06250000000003,0.0,0.0,64.31,1.57,0.0,-39.31,-155.99319572965916,-2147.22,-1.37,-221.17882000000003,0.0,-304.98181572965905,575.45,544.0500000000001,0.0,-398.9998,0.0,0.0,-6.116320000000002,0.0,0.0,0.0,-608.9999999999999,-215.06250000000003,0.0,0.0,127.07,1,127.07,polymers,-222.61446403624745
Bioethanol,2027,Steamcracker_Naphtha,40.9427470484459,25.0,563.57,0.2,46.59927999999999,0.0,1232.0420270484458,575.45,544.0500000000001,0.0,0.0,0.0,0.0,46.59927999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1575.925942778105,196.93594277810507,2710.79,249.43800000000005,0.0,0.0,0.0,456.2420000000001,0.0,0.0,52.836,0.0,0.0,0.0,608.9999999999999,196.60200000000003,0.0,0.0,64.31,1.57,0.0,-39.31,-155.99319572965916,-2147.22,-1.37,-202.83872000000005,0.0,-343.8839157296593,575.45,544.0500000000001,0.0,-456.2420000000001,0.0,0.0,-6.236720000000005,0.0,0.0,0.0,-608.9999999999999,-196.60200000000003,0.0,0.0,145.3,1,145.3,polymers,-251.0101574669046
Bioethanol,2028,Steamcracker_Naphtha,40.9427470484459,25.0,563.57,0.2,41.201679999999996,0.0,1226.6444270484458,575.45,544.0500000000001,0.0,0.0,0.0,0.0,41.201679999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1609.8280427781046,196.93594277810507,2710.79,226.06650000000002,0.0,0.0,0.0,513.5156,0.0,0.0,46.716,0.0,0.0,0.0,608.9999999999999,179.3505,0.0,0.0,64.31,1.57,0.0,-39.31,-155.99319572965916,-2147.22,-1.37,-184.86482,0.0,-383.18361572965887,575.45,544.0500000000001,0.0,-513.5156,0.0,0.0,-5.514320000000005,0.0,0.0,0.0,-608.9999999999999,-179.3505,0.0,0.0,163.54,1,163.54,polymers,-279.6960698756634
Bioethanol,2029,Steamcracker_Naphtha,40.9427470484459,25.0,563.57,0.2,37.7832,0.0,1223.225947048446,575.45,544.0500000000001,0.0,0.0,0.0,0.0,37.7832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1644.6407427781048,196.93594277810507,2710.79,203.637,0.0,0.0,0.0,570.7578000000001,0.0,0.0,42.84,0.0,0.0,0.0,608.9999999999999,160.797,0.0,0.0,64.31,1.57,0.0,-39.31,-155.99319572965916,-2147.22,-1.37,-165.8538,0.0,-421.41479572965886,575.45,544.0500000000001,0.0,-570.7578000000001,0.0,0.0,-5.056800000000003,0.0,0.0,0.0,-608.9999999999999,-160.797,0.0,0.0,181.77,1,181.77,polymers,-307.6020406785831
Bioethanol,2030,Steamcracker_Naphtha,40.9427470484459,25.0,563.57,0.2,35.084399999999995,0.0,1220.5271470484458,575.45,544.0500000000001,0.0,0.0,0.0,0.0,35.084399999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1680.315942778105,196.93594277810507,2710.79,182.07000000000002,0.0,0.0,0.0,628.0,0.0,0.0,39.78,0.0,0.0,0.0,608.9999999999999,142.29000000000002,0.0,0.0,64.31,1.57,0.0,-39.31,-155.99319572965916,-2147.22,-1.37,-146.98560000000003,0.0,-459.7887957296591,575.45,544.0500000000001,0.0,-628.0,0.0,0.0,-4.695600000000006,0.0,0.0,0.0,-608.9999999999999,-142.29000000000002,0.0,0.0,200.0,1,199.99999999999997,polymers,-335.61225965668547
Bioethanol,2031,Steamcracker_Naphtha,40.9427470484459,25.0,563.57,0.2,34.22978,0.0,1219.6725270484458,575.45,544.0500000000001,0.0,0.0,0.0,0.0,34.22978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1737.124942778105,196.93594277810507,2710.79,176.079,0.0,0.0,0.0,690.8000000000001,0.0,0.0,38.811,0.0,0.0,0.0,608.9999999999999,137.268,0.0,0.0,64.31,1.57,0.0,-39.31,-155.99319572965916,-2147.22,-1.37,-141.84922,0.0,-517.4524157296592,575.45,544.0500000000001,0.0,-690.8000000000001,0.0,0.0,-4.581220000000002,0.0,0.0,0.0,-608.9999999999999,-137.268,0.0,0.0,220.0,1,220.0,polymers,-377.7024932333278
Bioethanol,2032,Steamcracker_Naphtha,40.9427470484459,25.0,563.57,0.2,34.679579999999994,0.0,1220.1223270484459,575.45,544.0500000000001,0.0,0.0,0.0,0.0,34.679579999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1798.900442778105,196.93594277810507,2710.79,175.05450000000002,0.0,0.0,0.0,753.6,0.0,0.0,39.321,0.0,0.0,0.0,608.9999999999999,135.73350000000002,0.0,0.0,64.31,1.57,0.0,-39.31,-155.99319572965916,-2147.22,-1.37,-140.37492000000003,0.0,-578.778115729659,575.45,544.0500000000001,0.0,-753.6,0.0,0.0,-4.641420000000004,0.0,0.0,0.0,-608.9999999999999,-135.73350000000002,0.0,0.0,240.0,1,240.0,polymers,-422.46577790486054
Bioethanol,2033,Steamcracker_Naphtha,40.9427470484459,25.0,563.57,0.2,35.7591,0.0,1221.2018470484459,575.45,544.0500000000001,0.0,0.0,0.0,0.0,35.7591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1861.3899427781048,196.93594277810507,2710.79,174.74400000000003,0.0,0.0,0.0,816.4,0.0,0.0,40.545,0.0,0.0,0.0,608.9999999999999,134.199,0.0,0.0,64.31,1.57,0.0,-39.31,-155.99319572965916,-2147.22,-1.37,-138.98490000000004,0.0,-640.1880957296589,575.45,544.0500000000001,0.0,-816.4,0.0,0.0,-4.785900000000005,0.0,0.0,0.0,-608.9999999999999,-134.199,0.0,0.0,260.0,1,260.0,polymers,-467.2905808245685
Bioethanol,2034,Steamcracker_Naphtha,40.9427470484459,25.0,563.57,0.2,36.2089,0.0,1221.651647048446,575.45,544.0500000000001,0.0,0.0,0.0,0.0,36.2089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1923.211942778105,196.93594277810507,2710.79,173.76600000000002,0.0,0.0,0.0,879.2,0.0,0.0,41.055,0.0,0.0,0.0,608.9999999999999,132.711,0.0,0.0,64.31,1.57,0.0,-39.31,-155.99319572965916,-2147.22,-1.37,-137.55710000000002,0.0,-701.560295729659,575.45,544.0500000000001,0.0,-879.2,0.0,0.0,-4.8461,0.0,0.0,0.0,-608.9999999999999,-132.711,0.0,0.0,280.0,1,280.0,polymers,-512.0878071019408
