Project name,Period,Technology,CAPEX annuity,Additional OPEX,CAPEX total,Emissions,Energy cost,Free Allocations,cost,cost_Biobutene,cost_Bioethanol,cost_Biomass,cost_CO2 EoL,cost_Electricity,cost_Hydrogen,cost_Naphta,cost_Natural Gas,cost_PCW,cost_ref,CAPEX annuity_ref,CAPEX total_ref,Energy cost_ref,cost_Biobutene_ref,cost_Bioethanol_ref,cost_Biomass_ref,cost_CO2 EoL_ref,cost_Electricity_ref,cost_Hydrogen_ref,cost_Naphta_ref,cost_Natural Gas_ref,cost_PCW_ref,Additional OPEX_ref,Emissions_ref,Free Allocations_ref,Additional OPEX_diff,CAPEX annuity_diff,CAPEX total_diff,Emissions_diff,Energy cost_diff,Free Allocations_diff,cost_diff,cost_Biobutene_diff,cost_Bioethanol_diff,cost_Biomass_diff,cost_CO2 EoL_diff,cost_Electricity_diff,cost_Hydrogen_diff,cost_Naphta_diff,cost_Natural Gas_diff,cost_PCW_diff,CO2 Price,Size,Effective CO2 Price,Industry,Abatement_cost
Bioethanol,2025,Steamcracker_Naphtha,40.9427470484459,14.09,563.57,0.2,49.83783999999999,0.0,1679.3705870484457,1015.5000000000001,559.0,0.0,0.0,49.83783999999999,0.0,0.0,0.0,0.0,1441.4062427781048,196.93594277810507,2710.79,315.6525,0.0,0.0,0.0,252.0478,56.508,0.0,608.9999999999999,259.1445,0.0,67.77,1.57,0.0,-53.67999999999999,-155.99319572965916,-2147.22,-1.37,-265.81466,0.0,237.96434427034092,1015.5000000000001,559.0,0.0,-252.0478,-6.67016000000001,0.0,-608.9999999999999,-259.1445,0.0,80.27,1,80.27,polymers,173.69660165718312
Bioethanol,2026,Steamcracker_Naphtha,40.9427470484459,14.09,563.57,0.2,45.699679999999994,0.0,1675.2324270484457,1015.5000000000001,559.0,0.0,0.0,45.699679999999994,0.0,0.0,0.0,0.0,1405.035242778105,196.93594277810507,2710.79,266.87850000000003,0.0,0.0,0.0,264.4508,51.815999999999995,0.0,608.9999999999999,215.06250000000003,0.0,67.77,1.57,0.0,-53.67999999999999,-155.99319572965916,-2147.22,-1.37,-221.17882000000003,0.0,270.1971842703408,1015.5000000000001,559.0,0.0,-264.4508,-6.116320000000002,0.0,-608.9999999999999,-215.06250000000003,0.0,84.22,1,84.22,polymers,197.22422209513925
Bioethanol,2027,Steamcracker_Naphtha,40.9427470484459,14.09,563.57,0.2,46.59927999999999,0.0,1676.1320270484457,1015.5000000000001,559.0,0.0,0.0,46.59927999999999,0.0,0.0,0.0,0.0,1399.966342778105,196.93594277810507,2710.79,249.43800000000005,0.0,0.0,0.0,276.8224,52.836,0.0,608.9999999999999,196.60200000000003,0.0,67.77,1.57,0.0,-53.67999999999999,-155.99319572965916,-2147.22,-1.37,-202.83872000000005,0.0,276.16568427034076,1015.5000000000001,559.0,0.0,-276.8224,-6.236720000000005,0.0,-608.9999999999999,-196.60200000000003,0.0,88.16,1,88.16,polymers,201.58079143820493
Bioethanol,2028,Steamcracker_Naphtha,40.9427470484459,14.09,563.57,0.2,41.201679999999996,0.0,1670.7344270484457,1015.5000000000001,559.0,0.0,0.0,41.201679999999996,0.0,0.0,0.0,0.0,1388.997842778105,196.93594277810507,2710.79,226.06650000000002,0.0,0.0,0.0,289.22540000000004,46.716,0.0,608.9999999999999,179.3505,0.0,67.77,1.57,0.0,-53.67999999999999,-155.99319572965916,-2147.22,-1.37,-184.86482,0.0,281.7365842703407,1015.5000000000001,559.0,0.0,-289.22540000000004,-5.514320000000005,0.0,-608.9999999999999,-179.3505,0.0,92.11,1,92.11,polymers,205.64714180316838
Bioethanol,2029,Steamcracker_Naphtha,40.9427470484459,14.09,563.57,0.2,37.7832,0.0,1667.3159470484459,1015.5000000000001,559.0,0.0,0.0,37.7832,0.0,0.0,0.0,0.0,1378.939942778105,196.93594277810507,2710.79,203.637,0.0,0.0,0.0,301.597,42.84,0.0,608.9999999999999,160.797,0.0,67.77,1.57,0.0,-53.67999999999999,-155.99319572965916,-2147.22,-1.37,-165.8538,0.0,288.3760042703409,1015.5000000000001,559.0,0.0,-301.597,-5.056800000000003,0.0,-608.9999999999999,-160.797,0.0,96.05,1,96.05,polymers,210.49343377397145
Bioethanol,2030,Steamcracker_Naphtha,40.9427470484459,14.09,563.57,0.2,35.084399999999995,0.0,1664.6171470484458,1015.5000000000001,559.0,0.0,0.0,35.084399999999995,0.0,0.0,0.0,0.0,1369.775942778105,196.93594277810507,2710.79,182.07000000000002,0.0,0.0,0.0,314.0,39.78,0.0,608.9999999999999,142.29000000000002,0.0,67.77,1.57,0.0,-53.67999999999999,-155.99319572965916,-2147.22,-1.37,-146.98560000000003,0.0,294.84120427034077,1015.5000000000001,559.0,0.0,-314.0,-4.695600000000006,0.0,-608.9999999999999,-142.29000000000002,0.0,100.0,1,99.99999999999999,polymers,215.2125578615626
Bioethanol,2031,Steamcracker_Naphtha,40.9427470484459,14.09,563.57,0.2,34.22978,0.0,1663.7625270484457,1015.5000000000001,559.0,0.0,0.0,34.22978,0.0,0.0,0.0,0.0,1388.904942778105,196.93594277810507,2710.79,176.079,0.0,0.0,0.0,339.12,38.811,0.0,608.9999999999999,137.268,0.0,67.77,1.57,0.0,-53.67999999999999,-155.99319572965916,-2147.22,-1.37,-141.84922,0.0,274.8575842703408,1015.5000000000001,559.0,0.0,-339.12,-4.581220000000002,0.0,-608.9999999999999,-137.268,0.0,108.0,1,108.0,polymers,200.62597391995678
Bioethanol,2032,Steamcracker_Naphtha,40.9427470484459,14.09,563.57,0.2,34.679579999999994,0.0,1664.2123270484458,1015.5000000000001,559.0,0.0,0.0,34.679579999999994,0.0,0.0,0.0,0.0,1413.000442778105,196.93594277810507,2710.79,175.05450000000002,0.0,0.0,0.0,364.24,39.321,0.0,608.9999999999999,135.73350000000002,0.0,67.77,1.57,0.0,-53.67999999999999,-155.99319572965916,-2147.22,-1.37,-140.37492000000003,0.0,251.21188427034076,1015.5000000000001,559.0,0.0,-364.24,-4.641420000000004,0.0,-608.9999999999999,-135.73350000000002,0.0,116.0,1,116.0,polymers,183.3663388834604
Bioethanol,2033,Steamcracker_Naphtha,40.9427470484459,14.09,563.57,0.2,35.7591,0.0,1665.2918470484458,1015.5000000000001,559.0,0.0,0.0,35.7591,0.0,0.0,0.0,0.0,1437.8099427781049,196.93594277810507,2710.79,174.74400000000003,0.0,0.0,0.0,389.36,40.545,0.0,608.9999999999999,134.199,0.0,67.77,1.57,0.0,-53.67999999999999,-155.99319572965916,-2147.22,-1.37,-138.98490000000004,0.0,227.48190427034092,1015.5000000000001,559.0,0.0,-389.36,-4.785900000000005,0.0,-608.9999999999999,-134.199,0.0,124.0,1,124.00000000000001,polymers,166.04518559878898
Bioethanol,2034,Steamcracker_Naphtha,40.9427470484459,14.09,563.57,0.2,36.2089,0.0,1665.7416470484459,1015.5000000000001,559.0,0.0,0.0,36.2089,0.0,0.0,0.0,0.0,1461.951942778105,196.93594277810507,2710.79,173.76600000000002,0.0,0.0,0.0,414.48,41.055,0.0,608.9999999999999,132.711,0.0,67.77,1.57,0.0,-53.67999999999999,-155.99319572965916,-2147.22,-1.37,-137.55710000000002,0.0,203.78970427034096,1015.5000000000001,559.0,0.0,-414.48,-4.8461,0.0,-608.9999999999999,-132.711,0.0,132.0,1,132.0,polymers,148.75160895645325
