Project name,Period,Technology,CAPEX annuity,Additional OPEX,CAPEX total,Emissions,Energy cost,Free Allocations,cost,cost_Biobutene,cost_Bioethanol,cost_Biomass,cost_CO2 EoL,cost_Coking Coal,cost_DRI-Pellets,cost_Electricity,cost_Hydrogen,cost_Injection Coal,cost_Iron Ore,cost_Naphta,cost_Natural Gas,cost_PCW,cost_Scrap Steel,cost_ref,CAPEX annuity_ref,CAPEX total_ref,Energy cost_ref,cost_Biobutene_ref,cost_Bioethanol_ref,cost_Biomass_ref,cost_CO2 EoL_ref,cost_Coking Coal_ref,cost_DRI-Pellets_ref,cost_Electricity_ref,cost_Hydrogen_ref,cost_Injection Coal_ref,cost_Iron Ore_ref,cost_Naphta_ref,cost_Natural Gas_ref,cost_PCW_ref,cost_Scrap Steel_ref,Additional OPEX_ref,Emissions_ref,Free Allocations_ref,Additional OPEX_diff,CAPEX annuity_diff,CAPEX total_diff,Emissions_diff,Energy cost_diff,Free Allocations_diff,cost_diff,cost_Biobutene_diff,cost_Bioethanol_diff,cost_Biomass_diff,cost_CO2 EoL_diff,cost_Coking Coal_diff,cost_DRI-Pellets_diff,cost_Electricity_diff,cost_Hydrogen_diff,cost_Injection Coal_diff,cost_Iron Ore_diff,cost_Naphta_diff,cost_Natural Gas_diff,cost_PCW_diff,cost_Scrap Steel_diff,CO2 Price,Size,Effective CO2 Price,Industry,Abatement_cost,Energy cost_lower,Energy cost_upper,Energy cost_diff_lower,Energy cost_diff_upper,cost_lower,cost_upper,cost_Hydrogen_lower,cost_Hydrogen_upper,cost_Hydrogen_diff_lower,cost_Hydrogen_diff_upper,cost_diff_lower,cost_diff_upper
Andere a),2025,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,117.53459999999998,0.0,140.89207798751158,0.0,0.0,0.0,0.0,0.0,0.0,117.53459999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.90275040309203,5.500750403092048,26.7123287671233,132.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.552,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-15.01740000000001,0.0,-3.0106724155804443,0.0,0.0,0.0,0.0,0.0,0.0,117.53459999999998,0.0,0.0,0.0,0.0,-132.552,0.0,0.0,108.84,0.5,108.84,other_industries,-7.526681038951111,117.53459999999998,117.53459999999998,-15.01740000000001,-15.01740000000001,140.89207798751158,140.89207798751158,0.0,0.0,0.0,0.0,-3.0106724155804443,-3.0106724155804443
Andere a),2026,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,117.2862,0.0,140.64367798751158,0.0,0.0,0.0,0.0,0.0,0.0,117.2862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.91075040309204,5.500750403092048,26.7123287671233,133.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.56,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-16.27380000000001,0.0,-4.267072415580458,0.0,0.0,0.0,0.0,0.0,0.0,117.2862,0.0,0.0,0.0,0.0,-133.56,0.0,0.0,127.07,0.5,127.07000000000001,other_industries,-10.667681038951145,117.2862,117.2862,-16.27380000000001,-16.27380000000001,140.64367798751158,140.64367798751158,0.0,0.0,0.0,0.0,-4.267072415580458,-4.267072415580458
Andere a),2027,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,117.0378,0.0,140.3952779875116,0.0,0.0,0.0,0.0,0.0,0.0,117.0378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.99075040309202,5.500750403092048,26.7123287671233,134.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.64,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-17.602199999999982,0.0,-5.595472415580417,0.0,0.0,0.0,0.0,0.0,0.0,117.0378,0.0,0.0,0.0,0.0,-134.64,0.0,0.0,145.3,0.5,145.3,other_industries,-13.988681038951043,117.0378,117.0378,-17.602199999999982,-17.602199999999982,140.3952779875116,140.3952779875116,0.0,0.0,0.0,0.0,-5.595472415580417,-5.595472415580417
Andere a),2028,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,116.78939999999999,0.0,140.14687798751157,0.0,0.0,0.0,0.0,0.0,0.0,116.78939999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.99875040309203,5.500750403092048,26.7123287671233,135.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.648,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-18.85860000000001,0.0,-6.851872415580459,0.0,0.0,0.0,0.0,0.0,0.0,116.78939999999999,0.0,0.0,0.0,0.0,-135.648,0.0,0.0,163.54,0.5,163.54,other_industries,-17.129681038951148,116.78939999999999,116.78939999999999,-18.85860000000001,-18.85860000000001,140.14687798751157,140.14687798751157,0.0,0.0,0.0,0.0,-6.851872415580459,-6.851872415580459
Andere a),2029,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,116.541,0.0,139.8984779875116,0.0,0.0,0.0,0.0,0.0,0.0,116.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.07875040309204,5.500750403092048,26.7123287671233,136.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.728,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-20.187000000000012,0.0,-8.180272415580447,0.0,0.0,0.0,0.0,0.0,0.0,116.541,0.0,0.0,0.0,0.0,-136.728,0.0,0.0,181.77,0.5,181.77,other_industries,-20.450681038951117,116.541,116.541,-20.187000000000012,-20.187000000000012,139.8984779875116,139.8984779875116,0.0,0.0,0.0,0.0,-8.180272415580447,-8.180272415580447
Andere a),2030,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,116.25119999999998,0.0,139.60867798751158,0.0,0.0,0.0,0.0,0.0,0.0,116.25119999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.08675040309203,5.500750403092048,26.7123287671233,137.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.736,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-21.484800000000007,0.0,-9.478072415580442,0.0,0.0,0.0,0.0,0.0,0.0,116.25119999999998,0.0,0.0,0.0,0.0,-137.736,0.0,0.0,200.0,0.5,200.0,other_industries,-23.695181038951105,116.25119999999998,116.25119999999998,-21.484800000000007,-21.484800000000007,139.60867798751158,139.60867798751158,0.0,0.0,0.0,0.0,-9.478072415580442,-9.478072415580442
Andere a),2031,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,113.47739999999999,0.0,136.8348779875116,0.0,0.0,0.0,0.0,0.0,0.0,113.47739999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.00675040309204,5.500750403092048,26.7123287671233,145.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.656,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-32.17860000000002,0.0,-20.171872415580452,0.0,0.0,0.0,0.0,0.0,0.0,113.47739999999999,0.0,0.0,0.0,0.0,-145.656,0.0,0.0,220.0,0.5,220.0,other_industries,-50.42968103895113,113.47739999999999,113.47739999999999,-32.17860000000002,-32.17860000000002,136.8348779875116,136.8348779875116,0.0,0.0,0.0,0.0,-20.171872415580452,-20.171872415580452
Andere a),2032,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,110.66219999999998,0.0,134.01967798751159,0.0,0.0,0.0,0.0,0.0,0.0,110.66219999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.92675040309203,5.500750403092048,26.7123287671233,153.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.576,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-42.91380000000001,0.0,-30.907072415580444,0.0,0.0,0.0,0.0,0.0,0.0,110.66219999999998,0.0,0.0,0.0,0.0,-153.576,0.0,0.0,240.0,0.5,240.0,other_industries,-77.26768103895111,110.66219999999998,110.66219999999998,-42.91380000000001,-42.91380000000001,134.01967798751159,134.01967798751159,0.0,0.0,0.0,0.0,-30.907072415580444,-30.907072415580444
Andere a),2033,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,107.847,0.0,131.20447798751158,0.0,0.0,0.0,0.0,0.0,0.0,107.847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.91875040309205,5.500750403092048,26.7123287671233,161.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.568,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-53.72100000000002,0.0,-41.71427241558047,0.0,0.0,0.0,0.0,0.0,0.0,107.847,0.0,0.0,0.0,0.0,-161.568,0.0,0.0,260.0,0.5,260.0,other_industries,-104.28568103895117,107.847,107.847,-53.72100000000002,-53.72100000000002,131.20447798751158,131.20447798751158,0.0,0.0,0.0,0.0,-41.71427241558047,-41.71427241558047
Andere a),2034,Agora-Dampfkessel,20.357477987511594,3.0,98.8584474885845,0.0,105.03179999999999,0.0,128.38927798751158,0.0,0.0,0.0,0.0,0.0,0.0,105.03179999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.83875040309204,5.500750403092048,26.7123287671233,169.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.488,0.0,0.0,5.85,0.4,0.0,-2.8499999999999996,14.856727584419545,72.1461187214612,-0.4,-64.45620000000001,0.0,-52.44947241558046,0.0,0.0,0.0,0.0,0.0,0.0,105.03179999999999,0.0,0.0,0.0,0.0,-169.488,0.0,0.0,280.0,0.5,280.0,other_industries,-131.12368103895113,105.03179999999999,105.03179999999999,-64.45620000000001,-64.45620000000001,128.38927798751158,128.38927798751158,0.0,0.0,0.0,0.0,-52.44947241558046,-52.44947241558046
