component,scenario,scenario_group,year,value,unit,source
Electricity,Industry70-150GWh,Selected energy/feedstock,2025,110.8,€/MWh,Projektionsbericht2026
Electricity,Industry70-150GWh,Selected energy/feedstock,2026,101.6,€/MWh,Projektionsbericht2026
Electricity,Industry70-150GWh,Selected energy/feedstock,2027,103.6,€/MWh,Projektionsbericht2026
Electricity,Industry70-150GWh,Selected energy/feedstock,2028,91.6,€/MWh,Projektionsbericht2026
Electricity,Industry70-150GWh,Selected energy/feedstock,2029,84,€/MWh,Projektionsbericht2026
Electricity,Industry70-150GWh,Selected energy/feedstock,2030,78,€/MWh,Projektionsbericht2026
Electricity,Industry70-150GWh,Selected energy/feedstock,2031,76.1,€/MWh,Projektionsbericht2026
Electricity,Industry70-150GWh,Selected energy/feedstock,2032,77.1,€/MWh,Projektionsbericht2026
Electricity,Industry70-150GWh,Selected energy/feedstock,2033,79.5,€/MWh,Projektionsbericht2026
Electricity,Industry70-150GWh,Selected energy/feedstock,2034,80.5,€/MWh,Projektionsbericht2026
Electricity,Industry70-150GWh,Selected energy/feedstock,2035,80.2,€/MWh,Projektionsbericht2026
Electricity,Industry70-150GWh,Selected energy/feedstock,2036,79.4,€/MWh,Projektionsbericht2026
Electricity,Industry70-150GWh,Selected energy/feedstock,2037,78.3,€/MWh,Projektionsbericht2026
Electricity,Industry70-150GWh,Selected energy/feedstock,2038,76.6,€/MWh,Projektionsbericht2026
Electricity,Industry70-150GWh,Selected energy/feedstock,2039,74.9,€/MWh,Projektionsbericht2026
Electricity,Industry70-150GWh,Selected energy/feedstock,2040,73.2,€/MWh,Projektionsbericht2026
Electricity,Industry70-150GWh,Selected energy/feedstock,2041,72.6,€/MWh,Projektionsbericht2026
Electricity,Industry70-150GWh,Selected energy/feedstock,2042,72,€/MWh,Projektionsbericht2026
Electricity,Industry70-150GWh,Selected energy/feedstock,2043,71.5,€/MWh,Projektionsbericht2026
Electricity,Industry70-150GWh,Selected energy/feedstock,2044,70.3,€/MWh,Projektionsbericht2026
Electricity,Industry70-150GWh,Selected energy/feedstock,2045,69.8,€/MWh,Projektionsbericht2026
Electricity,Industry70-150GWh,Selected energy/feedstock,2046,59.6,€/MWh,Projektionsbericht2026
Electricity,Industry70-150GWh,Selected energy/feedstock,2047,60.6,€/MWh,Projektionsbericht2026
Electricity,Industry70-150GWh,Selected energy/feedstock,2048,61.6,€/MWh,Projektionsbericht2026
