No.,Model project name,Pathway,Electricity exact (€/t PP),Electricity rounded (€/t PP),Natural gas exact (€/t PP),Natural gas rounded (€/t PP),Hydrogen exact (€/t PP),Hydrogen rounded (€/t PP),CO2 emissions basis (t CO2/t PP),CO2 includes hypothetical EoL,CO2 exact low-high range (€/t PP),CO2 rounded low-high range (€/t PP),PCW exact (€/t PP),PCW rounded (€/t PP),Feedstock sensitivity,Dry biomass exact (€/t PP),Renewable naphtha exact (€/t PP),Renewable propane exact (€/t PP)
1,Steamcracker Naphtha,"Fossil naphtha, conventional",14.2392,14,50.20140000000001,50,0,,4.71,True,1413,1413,0,,–,0,0,0
2,E-Steamcracker Naphtha,"Fossil naphtha, electric",144.0672,144,0,,0,,3.3400000000000003,True,1002,1002,0,,–,0,0,0
3,Pyrolyse,"Pyrolysis, conventional",31.017724,31,62.72476,63,19.1839671028656,19,2.908,False,872.4,872,90.05000000000001,90,–,0,0,0
4,Pyrolyse E-Steamcracker,"Pyrolysis, electric",193.2572144,193,0,,19.1839671028656,19,1.19482,False,358.446,358,90,90,–,0,0,0
5,Hydrocracking,"Hydrocracking, conventional",27.0824,27,50.20140000000001,50,60.041965685072,60,2.36,False,708,708,56.5,56,–,0,0,0
6,Hydrocracking E-Steamcracker,"Hydrocracking, electric",156.6312,157,0,,60.041965685072,60,0.99,False,297,297,56.5,56,–,0,0,0
7,Gasifizierung-FT,"Gasification–FT, conventional",18.9856,19,50.20140000000001,50,0,,3.58,False,1074,1074,84,84,–,0,0,0
8,Gasifizierung-FT E-Steamcracker,"Gasification–FT, electric",148.8136,149,0,,0,,2.21,False,663,663,84,84,–,0,0,0
9,Mechanisches Recycling,Mechanical recycling,16.165680000000002,16,0,,0,,0.471,False,141.29999999999998,141,59,59,–,0,0,0
10,Methanolroute,CO₂/H₂ methanol route,316.892,317,0,,879.5801884086561,880,0.31913,False,95.739,96,0,,–,0,0,0
11,Fischer-Tropsch,CO₂/H₂ FT route,242.0136312,242,0,,832.0861593890721,832,0.21594,False,64.782,65,0,,–,0,0,0
12,Biomethanol,Biomethanol route,220.8472,221,0,,0,,0.2,False,60,60,0,,Dry biomass: 177,176.51904000000005,0,0
13,Renewable Naphtha E-Steamcracker,"Renewable naphtha, electric cracker",144.0672,144,0,,0,,0.2,false,60,60,0,,Renewable naphtha: 548,0,548.1,0
14,Renewable Propane PDH,"Renewable propane, conventional PDH",20.3816,20,52.661688,53,0,,1.18,false,354,354,0,,Renewable propane: 573,0,0,573.12
